Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=5V Pin=C4-1
Removed Pin From Net: NetName=DGND Pin=C4-2
Removed Pin From Net: NetName=DGND Pin=C5-1
Removed Pin From Net: NetName=5V Pin=C5-2
Removed Pin From Net: NetName=NetC7_1 Pin=C7-1
Removed Pin From Net: NetName=DGND Pin=C7-2
Removed Pin From Net: NetName=GND Pin=D1-3
Removed Pin From Net: NetName=GND Pin=D2-3
Removed Pin From Net: NetName=5V Pin=D3-1
Removed Pin From Net: NetName=NetC7_1 Pin=D3-3
Removed Pin From Net: NetName=DGND Pin=D5-3
Removed Pin From Net: NetName=CHGND Pin=J1-A1/B12
Removed Pin From Net: NetName=VBUS Pin=J1-A4/B9
Removed Pin From Net: NetName=CHGND Pin=J1-B1/A12
Removed Pin From Net: NetName=VBUS Pin=J1-B4/A9
Removed Pin From Net: NetName=CHGND Pin=J1-S1
Removed Pin From Net: NetName=CHGND Pin=J1-S2
Removed Pin From Net: NetName=CHGND Pin=J1-S3
Removed Pin From Net: NetName=CHGND Pin=J1-S4
Removed Pin From Net: NetName=NetD4_3 Pin=R7-1
Removed Pin From Net: NetName=NetD4_3 Pin=R9-2
Removed Pin From Net: NetName=DGND Pin=U3-2
Removed Pin From Net: NetName=NetC7_1 Pin=U3-5
Removed Member From Class: ClassName=CtlBoard Member=C1
Removed Member From Class: ClassName=CtlBoard Member=C2
Removed Member From Class: ClassName=CtlBoard Member=C3
Removed Member From Class: ClassName=CtlBoard Member=C4
Removed Member From Class: ClassName=CtlBoard Member=C6
Removed Member From Class: ClassName=CtlBoard Member=CN1
Removed Member From Class: ClassName=CtlBoard Member=D1
Removed Member From Class: ClassName=CtlBoard Member=D2
Removed Member From Class: ClassName=CtlBoard Member=D3
Removed Member From Class: ClassName=CtlBoard Member=D5
Removed Member From Class: ClassName=CtlBoard Member=J1
Removed Member From Class: ClassName=CtlBoard Member=R1
Removed Member From Class: ClassName=CtlBoard Member=R4
Removed Member From Class: ClassName=CtlBoard Member=R6
Removed Member From Class: ClassName=CtlBoard Member=R9
Removed Member From Class: ClassName=CtlBoard Member=U2
Removed Member From Class: ClassName=CtlBoard Member=U3
Change Component Footprint: Designator=C7 Old Footprint=CAP_EEEFT1V470AR New Footprint=CAPC2012X60N
Change Component Footprint: Designator=C5 Old Footprint=CAPC2012X60N New Footprint=CAP_EEEFT1V470AR
Change Component Comment : Designator=R7 Old Comment= New Comment=NF
Change Component Comment : Designator=R8 Old Comment=NF New Comment=
Change Component Designator: OldDesignator=D4 NewDesignator=D?
Change Component Designator: OldDesignator=Q1 NewDesignator=Q?
Change Component Designator: OldDesignator=Q2 NewDesignator=Q?
Change Component Designator: OldDesignator=R100 NewDesignator=R5
Change component parameters: Designator = "C5" ("C5"); Footprint = "CAPC2012X60N"; UniqueID = "\QCXZUDON" ("\QCXZUDON")
Change component parameters (AddParameter): Name = "Arrow"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Web MF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://industrial.panasonic.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet web"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://pdf1.alldatasheet.com/datasheet-pdf/view/525995/PANASONIC/EEEFT1V470AR.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Datasheet local"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "/D/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DigiKey"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Farnell"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "EEEFT1V470AR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "https://industrial.panasonic.com/ww/products/pt/aluminum-cap-smd/models/EEE1CA100AR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "My_P/N"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "CAP_EEEFT1V470AR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Profusion"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "UA P/N"; Value = "16-0xxx"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "NF"; VariantName = "[No Variations]"
Change component parameters: Designator = "C7" ("C7"); Footprint = "CAP_EEEFT1V470AR"; UniqueID = "\QRCFRLQY" ("\QRCFRLQY")
Change component parameters (AddParameter): Name = "Arrow"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Web MF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet web"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Datasheet local"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "/D/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DigiKey"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Farnell"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "My_P/N"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "CAPC2012X60N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Profusion"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RS"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "UA P/N"; Value = "16-0xxx"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "NF"; VariantName = "[No Variations]"
Change component parameters: Designator = "D4" ("D?"); Footprint = "SOT91P240X110-3N"; UniqueID = "\YLDYAQMV" ("\YLDYAQMV")
Change component parameters (AddParameter): Name = "Arrow"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Web MF"; VariantName = "[No Variations]"
